factor,U.S. Equities,Long Treasuries,TIPS / IL Bonds,Broad Commodities,Gold,DM ex-US Equities,EM Equities,EM Sovereign Bonds,EM FX,IG Credit,HY Credit,U.S. REITs
U.S. Equities,1.0,-0.10567773562256796,0.30794850312358873,0.5052730144126273,0.07767600263614259,0.8758551982103436,0.7388688957430669,0.5903997539844011,0.5917442477370038,0.3904255270753114,0.7411463918692547,0.7376481819061137
Long Treasuries,-0.10567773562256796,1.0,0.6148282609644045,-0.34647602277535405,0.22364613995855157,-0.23884433661572357,-0.06786994968257164,0.3355619963904385,-0.0834776736039321,0.6531101796201997,0.03887185484846665,0.14011570035685939
TIPS / IL Bonds,0.30794850312358873,0.6148282609644045,1.0,0.24653952335746632,0.4379146542695607,0.2570935115838686,0.3537582382097634,0.6631778755615435,0.32967786046799,0.7164726743050184,0.4687177491109121,0.4104535228936376
Broad Commodities,0.5052730144126273,-0.34647602277535405,0.24653952335746632,1.0,0.33841062289157986,0.6142947440917209,0.5804189788373036,0.34880442709389725,0.5840257762717372,0.10661600734106581,0.43628096684682227,0.33526398972509125
Gold,0.07767600263614259,0.22364613995855157,0.4379146542695607,0.33841062289157986,1.0,0.15039756235661203,0.31775226910507426,0.3747584312905037,0.41009131750321237,0.2732714035315025,0.16438329884171474,0.12495423800063986
DM ex-US Equities,0.8758551982103436,-0.23884433661572357,0.2570935115838686,0.6142947440917209,0.15039756235661203,1.0,0.8721778072678187,0.6634498326876982,0.7648711663673372,0.35816365450388055,0.7543074469993363,0.6884258494831114
EM Equities,0.7388688957430669,-0.06786994968257164,0.3537582382097634,0.5804189788373036,0.31775226910507426,0.8721778072678187,1.0,0.6901316963259899,0.8563538800359863,0.4093486024702078,0.7117816371347311,0.6117487646729354
EM Sovereign Bonds,0.5903997539844011,0.3355619963904385,0.6631778755615435,0.34880442709389725,0.3747584312905037,0.6634498326876982,0.6901316963259899,1.0,0.6976475469806409,0.7798345832497479,0.7592514371632517,0.6433517414203582
EM FX,0.5917442477370038,-0.0834776736039321,0.32967786046799,0.5840257762717372,0.41009131750321237,0.7648711663673372,0.8563538800359863,0.6976475469806409,1.0,0.4444577148989056,0.6476560177668804,0.527646740512047
IG Credit,0.3904255270753114,0.6531101796201997,0.7164726743050184,0.10661600734106581,0.2732714035315025,0.35816365450388055,0.4093486024702078,0.7798345832497479,0.4444577148989056,1.0,0.6899975576357344,0.5189848053710874
HY Credit,0.7411463918692547,0.03887185484846665,0.4687177491109121,0.43628096684682227,0.16438329884171474,0.7543074469993363,0.7117816371347311,0.7592514371632517,0.6476560177668804,0.6899975576357344,1.0,0.7663734254000097
U.S. REITs,0.7376481819061137,0.14011570035685939,0.4104535228936376,0.33526398972509125,0.12495423800063986,0.6884258494831114,0.6117487646729354,0.6433517414203582,0.527646740512047,0.5189848053710874,0.7663734254000097,1.0
