ticker,weight_reference_erc,weight_campbell,weight_delta,sleeve_vol_3y_ann,risk_contrib_reference,risk_contrib_campbell,risk_contrib_delta
HYG,0.21605033400263396,0.05,-0.16605033400263397,0.04099638653393126,0.008857283003556935,0.002049819326696563,-0.006807463676860372
TLT,0.08592558831162625,0.25,0.16407441168837375,0.10422117968221536,0.008955266178726063,0.02605529492055384,0.017100028741827776
EMB,0.1545053153672054,0.02,-0.13450531536720542,0.056745576359701955,0.008767493171149587,0.001134911527194039,-0.007632581643955548
TIP,0.23875100114631964,0.15,-0.08875100114631965,0.03522715761918021,0.008410519149118476,0.005284073642877031,-0.0031264455062414457
SPY,0.06720421737907631,0.15,0.08279578262092369,0.137365965801903,0.009231572226237852,0.02060489487028545,0.011373322644047598
GLD,0.027719760152040297,0.1,0.07228023984795971,0.18531682411532024,0.005136937916614515,0.018531682411532024,0.013394744494917512
DBC,0.04662648062608411,0.1,0.05337351937391589,0.13878598850695506,0.006471102204291473,0.013878598850695506,0.007407496646404034
EFA,0.056339891418520006,0.02,-0.03633989141852001,0.13144274071106268,0.007405469739413951,0.0026288548142212537,-0.004776614925192698
XLK,0.0,0.02,0.02,0.21106559366701608,0.0,0.004221311873340321,0.004221311873340321
CEW,0.0,0.02,0.02,0.05410301159781463,0.0,0.0010820602319562926,0.0010820602319562926
XLE,0.0,0.02,0.02,0.18440093439069993,0.0,0.003688018687813999,0.003688018687813999
VNQ,0.06313357893625855,0.05,-0.01313357893625855,0.13437123187057962,0.00848333677406354,0.006718561593528981,-0.001764775180534558
EEM,0.0437438326602354,0.05,0.006256167339764605,0.1539512243363592,0.006734416595208056,0.00769756121681796,0.0009631446216099043
LQD,0.0,0.0,0.0,0.055479232702576015,0.0,0.0,0.0
