ticker,AW-synthetic,All Beta (unlev),All Beta (lev 15%),Lev-constrained (RSSB-style),Campbell's Book
CEW,0.0,0.0,0.0,0.0,0.02
DBC,0.12476501315637326,0.04662648062608411,0.12979011652794714,0.04900224914701319,0.1
EEM,0.12674370853282818,0.0437438326602354,0.12176593777002366,0.04597272103489943,0.05
EFA,0.0,0.056339891418520006,0.156828501190606,0.059210589328964544,0.02
EMB,0.0,0.1545053153672054,0.4300831333703208,0.16237785602729285,0.02
GLD,0.09160737480059118,0.027719760152040297,0.0771611078501039,0.02913217071128976,0.1
HYG,0.0,0.21605033400263396,0.6014006986925957,0.22705879047559635,0.05
IEF,0.3625439794874874,0.0,0.0,0.0,0.0
LQD,0.3229852761495168,0.0,0.0,0.0,0.0
RSSB,0.0,0.0,0.0,0.09030377223440923,0.0
SPY,0.14012960057835355,0.06720421737907631,0.1870705892376581,0.005917890219868314,0.15
TIP,0.47859510357062784,0.23875100114631964,0.6645905898076642,0.25091612931484825,0.15
TLT,0.3416039859057124,0.08592558831162625,0.2391836563675683,0.019675284741461928,0.25
VNQ,0.0,0.06313357893625855,0.17573950375270952,0.06635043698422466,0.05
XLE,0.0,0.0,0.0,0.0,0.02
XLK,0.0,0.0,0.0,0.0,0.02
